id;name;birthday;gender;schools_classes_id
1;Ron Dan;20/05/2005;male;0
2;Mal Wer;21/08/2006;male;0
3;Roki Cien;15/11/2007;male;0
4;Fuhr Dale;22/11/2006;female;0
5;Conn Ra;16/08/2007;female;0
6;Kiew Brit;15/06/2007;male;1
7;Ponie Euge;23/08/2005;male;1
8;Leni Erte;09/11/2008;male;1
9;Nuri Masc;16/09/2008;male;1
10;Jake Wid;11/09/2008;male;1
11;Karin Ranne;18/08/2006;male;2
12;Rob Jon;16/05/2007;male;2
13;Tuki Were;08/07/2007;male;2
14;Aiden Garza;31/12/2006;female;2
15;Kira Brandt;11/11/2007;female;2
16;Lamont Cochran;09/09/2005;male;3
17;Jackson Palmer;14/02/2006;female;3
18;Rebekah Gonzales;21/03/2006;female;3
19;Valerie Luna;17/02/2005;male;3
20;Savion Lloyd;05/01/2007;female;3
21;Jacoby Kaiser;27/07/2006;male;4
22;Jaylin Owens;21/02/2007;female;4
23;Moses Bright;27/09/2005;male;4
24;Madeline Carney;08/12/2005;female;4
25;Alejandra Harding;24/07/2006;female;4
26;Liliana Richardson;22/01/2008;female;5
27;Manuel Taylor;04/10/2007;female;5
28;Chad Allen;03/04/2008;female;5
29;Kristopher Leon;23/11/2006;male;5
30;Gauge Travis;07/05/2008;female;5
31;Leo Lee;03/04/2008;male;6
32;Matteo Barton;14/11/2006;male;6
33;Andy Patel;03/10/2008;male;6
34;Madelyn Callahan;28/02/2007;female;6
35;Zara Burch;27/11/2008;male;6
36;Derick Doyle;25/12/2007;male;7
37;Braedon Valencia;15/07/2007;female;7
38;Eli Camacho;25/10/2006;male;7
39;Maribel Levine;06/03/2005;male;7
40;Angelina Crane;05/11/2008;male;7
41;Shania Brooks;05/06/2006;female;8
42;Piper Gregory;01/12/2008;male;8
43;Mekhi Cox;11/12/2008;male;8
44;Ismael Warren;07/11/2007;female;8
45;Prince Herring;21/02/2005;male;8
